
Note: Compatibility modes selected: hs a

Warning: m=xx on .subckt line will override multiplier m hierarchy!


Circuit: ** sch_path: /fs1/eecg/tcc/lizongh2/sky130_comparator/xschem/strong_arm_comp_pex_tb.sch

option SCALE: Scale is set to 1e-06 for instance and model parameters
Reducing trtol to 1 for xspice 'A' devices
Doing analysis at TEMP = 27.000000 and TNOM = 27.000000


Initial Transient Solution
--------------------------

Node                                   Voltage
x1.a_88_1445.t2                       0.704365
x1.vin_n.t10                          0.913176
x1.di_p.t2                                 1.8
x1.vss.t2                          1.57303e-08
x1.di_p.t5                                 1.8
x1.vin_n.t11                          0.913176
x1.a_88_1445.t4                       0.704365
x1.vss.t13                         1.42656e-11
x1.clk.t18                                   0
x1.a_88_1445.t12                      0.704365
x1.vss.t11                         1.03969e-11
x1.clk.t19                                   0
x1.a_88_1445.t16                      0.704365
x1.vdd.t9                                  1.8
x1.clk.t20                                   0
x1.vout_p.t2                               1.8
x1.vdd.t8                                  1.8
x1.vdd.t7                                  1.8
x1.clk.t21                                   0
x1.vout_n.t0                               1.8
x1.vdd.t6                                  1.8
x1.a_88_1445.t23                      0.704365
x1.vin_p.t9                           0.963176
x1.di_n.t16                                1.8
x1.vss.t34                          3.7501e-08
x1.vdd.t5                                  1.8
x1.clk.t22                                   0
x1.di_n.t2                                 1.8
x1.vdd.t4                                  1.8
x1.a_88_1445.t22                      0.704365
x1.vin_p.t10                          0.963176
x1.di_n.t15                                1.8
x1.vss.t33                         1.52553e-08
x1.vdd.t3                                  1.8
x1.clk.t23                                   0
x1.di_n.t1                                 1.8
x1.vdd.t2                                  1.8
x1.a_88_1445.t21                      0.704365
x1.vin_p.t11                          0.963176
x1.di_n.t9                                 1.8
x1.vss.t32                         1.74119e-08
x1.clk.n10                                   0
x1.clk.n8                                    0
x1.clk.n6                                    0
x1.clk.n12                                   0
x1.clk.n14                                   0
x1.clk.n16                                   0
x1.clk.n4                                    0
x1.clk.n2                                    0
x1.clk.n1                                    0
x1.clk.n0                                    0
x1.clk.n19                                   0
x1.clk.n21                                   0
x1.clk.n5                                    0
x1.clk.n3                                    0
x1.clk.n18                                   0
x1.clk.n20                                   0
x1.clk.n11                                   0
x1.clk.n9                                    0
x1.clk.n7                                    0
x1.clk.n13                                   0
x1.clk.n15                                   0
x1.clk.n17                                   0
di_p                                       1.8
x1.di_p.n0                                 1.8
x1.di_p.n15                                1.8
x1.di_p.n1                                 1.8
x1.di_p.n13                                1.8
x1.di_p.n14                                1.8
