
Note: Compatibility modes selected: hs a

Warning: m=xx on .subckt line will override multiplier m hierarchy!


Circuit: ** sch_path: /fs1/eecg/tcc/lizongh2/sky130_comparator/xschem/double_tail_comp_pex_tb.sch

option SCALE: Scale is set to 1e-06 for instance and model parameters
Reducing trtol to 1 for xspice 'A' devices
Doing analysis at TEMP = 27.000000 and TNOM = 27.000000


Initial Transient Solution
--------------------------

Node                                   Voltage
x1.clk_bar.t8                                0
x1.vdd.t19                             1.78624
x1.vdd.t18                             1.79973
x1.vout_n.t10                        0.0877571
x1.vout_p.t4                           0.16939
x1.vout_n.t6                         0.0724311
x1.di_p.t13                            1.79976
x1.vss.t5                           0.00897539
x1.vss.t4                           8.8863e-05
x1.vout_n.t5                         0.0726058
x1.di_p.t14                            1.79976
x1.vss.t43                           0.0141453
x1.vss.t42                         8.88564e-05
x1.di_n.t4                             1.79976
x1.clk.t13                                   0
x1.vdd.t7                              1.79976
x1.vdd.t6                              1.79976
x1.vdd.t17                             1.78621
x1.clk_bar.t9                                0
x1.vdd.t16                             1.79973
x1.vdd.t5                              1.79976
x1.clk.t14                                   0
x1.di_n.t3                             1.79976
x1.vdd.t4                              1.79976
x1.clk_bar.t10                               0
x1.vdd.t15                             1.78623
x1.vdd.t14                             1.79973
x1.di_p.t4                             1.79976
x1.vin_n.t7                           0.900896
x1.a_88_n1613.t29                     0.692694
x1.vdd.t13                             1.78621
x1.clk_bar.t11                               0
x1.vdd.t12                             1.79973
x1.di_n.t11                            1.79976
x1.vin_p.t8                           0.950896
x1.a_88_n1613.t30                     0.692694
x1.a_88_n1613.t19                     0.692694
x1.vin_n.t8                           0.900896
x1.di_p.t3                             1.79976
x1.vout_p.t5                          0.169247
x1.vout_n.t11                        0.0877571
x1.vdd.t2                              1.79973
x1.vss.t47                            0.014188
x1.di_p.t15                            1.79976
x1.vout_n.t4                         0.0726749
x1.vss.t46                           8.886e-05
x1.vss.t15                         4.84886e-12
x1.clk.t15                                   0
x1.a_88_n1613.t6                      0.692694
x1.di_n.t10                            1.79976
x1.vin_p.t9                           0.950896
x1.a_88_n1613.t27                     0.692694
x1.vss.t57                         8.88479e-05
x1.a_88_n1613.t25                     0.692694
x1.vin_n.t9                           0.900896
x1.di_p.t2                             1.79976
x1.vss.t55                         8.88477e-05
x1.clk.n6                                    0
x1.clk.n5                                    0
x1.clk.n11                                   0
x1.clk.n9                                    0
x1.clk.n8                                    0
x1.clk.n3                                    0
x1.clk.n1                                    0
x1.clk.n0                                    0
x1.clk.n7                                    0
x1.clk.n10                                   0
x1.clk.n2                                    0
x1.clk.n12                                   0
x1.clk.n4                                    0
vclk                                         0
x1.a_88_n1613.n1                      0.692694
x1.a_88_n1613.n16                     0.692694
